Code.Class	Name	Accession	HW1D.a	HW2B.b	HW3B.a	HW4C.b	HW5D.b	HW6A.b	WW41B.a	WW42.a	WW45A.b	WW46D.a	WW47A.b	WW48B.a	LE100C.a	LE101A.a	LE102.a	LE4D51.a	LE4D53.a	LE4D56.b	WW37.b	WW38.b	WW39.a	WW40.b	WW43.b	WW44.a	HW4D12.B
1	Positive	POS_A(128)	ERCC_00117.1	9917	8808	9754	9025	10230	12090	18979	23660	10064	12176	13729	14055	18225	5505	14951	11133	14264	21404	9121	10226	11050	12242	15881	12805	8835
2	Positive	POS_B(32)	ERCC_00112.1	3471	3418	3722	3191	3619	3903	5064	5953	3399	3312	3754	4073	5001	1551	4353	3583	4148	5692	2780	2835	3250	3393	4291	3604	2393
3	Positive	POS_C(8)	ERCC_00002.1	540	522	591	527	583	652	1005	1094	525	647	708	763	904	318	754	556	668	1068	437	566	617	651	859	637	483
4	Positive	POS_D(2)	ERCC_00092.1	203	215	239	204	210	270	342	362	241	255	305	296	301	116	263	232	289	366	174	206	208	183	262	218	180
5	Positive	POS_E(0.5)	ERCC_00035.1	28	28	25	30	39	38	46	67	22	38	26	41	57	17	59	46	50	74	25	30	23	35	56	40	20
6	Positive	POS_F(0.125)	ERCC_00034.1	38	28	30	30	28	32	121	145	58	72	77	45	54	17	60	47	93	78	99	65	65	85	88	67	42
7	Negative	NEG_A(0)	ERCC_00096.1	2	1	3	3	7	3	9	11	3	5	7	4	7	0	4	7	5	9	5	5	10	4	10	8	1
8	Negative	NEG_B(0)	ERCC_00041.1	1	2	4	5	1	2	9	7	1	2	2	0	3	0	2	17	8	11	4	4	2	6	2	6	3
9	Negative	NEG_C(0)	ERCC_00019.1	5	4	3	5	3	4	5	5	2	4	3	5	4	2	6	10	3	9	6	1	5	1	0	3	2
10	Negative	NEG_D(0)	ERCC_00076.1	5	2	7	2	8	6	6	8	2	10	8	4	3	2	3	12	1	6	5	1	4	10	11	5	6
11	Negative	NEG_E(0)	ERCC_00098.1	7	8	10	11	8	11	13	30	3	9	9	13	9	2	9	14	14	24	9	8	11	13	9	11	11
12	Negative	NEG_F(0)	ERCC_00126.1	1	2	2	2	4	2	6	10	3	8	9	5	4	3	2	11	3	13	2	4	5	3	4	6	3
13	Negative	NEG_G(0)	ERCC_00144.1	0	1	0	5	4	2	4	3	3	2	3	2	0	1	0	4	2	2	2	1	1	2	0	5	1
14	Negative	NEG_H(0)	ERCC_00154.1	0	3	0	3	3	2	3	11	1	5	9	8	2	3	7	6	4	10	0	6	4	1	5	3	1
15	Endogenous	Ahrr	NM_001024285.1	10	1	1	7	6	5	41	51	14	20	29	8	20	1	8	15	13	13	38	29	20	28	21	25	5
16	Endogenous	Aldh3a1	NM_031972.1	4	6	6	216	52	75	5789	11341	2264	991	2292	2996	91	93	95	164	177	581	8241	5046	9268	9127	4235	3416	5
17	Endogenous	Bbs2	NM_053618.1	26	32	25	49	42	44	125	124	48	66	53	44	68	16	40	92	78	77	130	105	106	111	67	93	52
18	Endogenous	Ccbl1	NM_001013164.3	182	171	136	194	253	224	1162	1189	437	467	657	546	315	127	309	409	395	415	1157	1230	866	947	1093	1019	370
